Date,Description,Category,Balance,Amount
2025-01-09,Apartment Rent,Rent,2769.5,-230.5
2025-01-07,Concert Ticket,Entertainment,2593.08,-176.42
2025-01-06,Train Ticket,Transportation,2422.99,-170.09
2025-01-03,Restaurant Bill,Food,2245.45,-177.54
2025-01-05,Apartment Rent,Rent,2169.29,-76.16
2025-01-05,Monthly Rent Payment,Rent,1863.44,-305.85
2025-01-03,Netflix Subscription,Entertainment,1790.97,-72.47
2025-01-04,Monthly Rent Payment,Rent,1588.35,-202.62
2025-01-07,Train Ticket,Transportation,1451.1,-137.25
2025-01-10,Concert Ticket,Entertainment,1168.64,-282.46
2025-01-02,Uber Ride,Transportation,891.6,-277.04
2025-01-09,Amazon Purchase,Misc,574.01,-317.59
2025-01-09,Apartment Rent,Rent,440.23,-133.78
2025-01-05,Pharmacy Purchase,Healthcare,386.47,-53.76
2025-01-01,Concert Ticket,Entertainment,160.91,-225.56
2025-01-02,Starbucks Coffee,Food,87.02,-73.89
2025-01-04,Concert Ticket,Entertainment,-259.23,-346.25
2025-01-03,Apartment Rent,Rent,-471.23,-212.0
2025-01-02,Uber Ride,Transportation,-605.71,-134.48
2025-01-07,Movie Ticket,Entertainment,-660.62,-54.91
2025-01-08,Concert Ticket,Entertainment,-671.39,-10.77
2025-01-06,Monthly Rent Payment,Rent,-889.56,-218.17
2025-01-05,Movie Ticket,Entertainment,-1208.71,-319.15
2025-01-10,Health Insurance Payment,Healthcare,-1486.25,-277.54
2025-01-08,Clothing Store,Misc,-1887.9,-401.65
2025-01-03,Doctor Visit,Healthcare,-2340.44,-452.54
2025-01-10,Gas Station,Transportation,-2405.43,-64.99
2025-01-08,Apartment Rent,Rent,-2596.6,-191.17
2025-01-01,Apartment Rent,Rent,-2662.66,-66.06
2025-01-03,Pet Supplies,Misc,-2845.72,-183.06
2025-01-01,Apartment Rent,Rent,-3019.59,-173.87
2025-01-01,Gift Shop,Misc,-3069.34,-49.75
2025-01-08,Health Insurance Payment,Healthcare,-3526.05,-456.71
2025-01-05,Uber Ride,Transportation,-3614.14,-88.09
2025-01-02,Doctor Visit,Healthcare,-4043.56,-429.42
2025-01-01,Concert Ticket,Entertainment,-4257.89,-214.33
2025-01-02,Restaurant Bill,Food,-4579.38,-321.49
2025-01-08,Monthly Rent Payment,Rent,-4750.07,-170.69
2025-01-09,Uber Ride,Transportation,-4849.81,-99.74
2025-01-05,Pharmacy Purchase,Healthcare,-5171.99,-322.18
2025-01-09,Apartment Rent,Rent,-5229.47,-57.48
2025-01-08,Fast Food,Food,-5308.07,-78.6
2025-01-06,Monthly Rent Payment,Rent,-5600.97,-292.9
2025-01-08,Water Bill,Utilities,-5698.31,-97.34
