Date,Description,Amount,Category
2025-01-02,Picture nature.,1957.11,Food
2025-01-02,Fight day.,74.04,Rent
2025-01-06,Item necessary quite.,-339.67,Transportation
2025-01-08,Just new citizen.,742.34,Rent
2025-01-03,Huge western type charge.,1584.84,Entertainment
2025-01-05,Where live.,2017.92,Entertainment
2025-01-09,Tonight morning here.,321.86,Entertainment
2025-01-09,Chance exactly.,246.7,Entertainment
2025-01-07,In news prevent.,2704.81,Income
2025-01-06,Across choose others.,-321.24,Rent
2025-01-02,Program education kind.,2680.53,Income
2025-01-05,Choose high administration Congress.,519.64,Transportation
2025-01-06,Change simple.,1080.29,Transportation
2025-01-08,Law every.,2314.28,Food
2025-01-11,Keep firm media.,-67.08,Entertainment
2025-01-02,Experience leader central.,1250.94,Misc
2025-01-03,Turn somebody.,2735.46,Misc
2025-01-07,Commercial place view.,2405.0,Utilities
2025-01-01,People food.,1444.87,Misc
2025-01-09,Cold the professor response.,914.19,Entertainment
